id,geometry
17031080201,POINT (-87.63100510505922 41.909497569694565)
17031760802,POINT (-87.84721685208288 41.95783207010122)
17031140601,POINT (-87.72589086837726 41.96464719222939)
17031070102,POINT (-87.64220207716541 41.93058281269375)
17031210502,POINT (-87.72205243034684 41.93378462674482)
17031815800,POINT (-87.83699942468387 41.83154773479896)
17031815900,POINT (-87.80972472432869 41.88323733152531)
17031816000,POINT (-87.81634729304068 41.87637580523915)
17031816200,POINT (-87.8408287881419 41.9036197097534)
17031824507,POINT (-87.77483337179932 41.59529302564913)
17031824602,POINT (-87.73849873557074 41.61740748569133)
17031824701,POINT (-87.71864983723479 41.628171594947766)
17031824702,POINT (-87.7084837949644 41.62199002759347)
17031825200,POINT (-87.72723586048731 41.59670635567062)
17031040100,POINT (-87.68199336836305 41.983330657423735)
17031040300,POINT (-87.7019748520212 41.97680136808408)
17031816300,POINT (-87.85770953159346 41.90425009134617)
17031816401,POINT (-87.86033460662587 41.8955766204836)
17031816402,POINT (-87.85098208623529 41.89438377270149)
17031816600,POINT (-87.880840599251 41.90321636306228)
17031816700,POINT (-87.89637792104774 41.904570321029055)
17031825503,POINT (-87.684610214371 41.57140898917018)
17031825504,POINT (-87.70402822803763 41.56441662681834)
17031825505,POINT (-87.733072923389 41.564336140652344)
17031825700,POINT (-87.54470297022701 41.6375376703817)
17031808800,POINT (-87.68270421575193 42.0654873111338)
17031611600,POINT (-87.67689801805777 41.79763295888097)
17031340400,POINT (-87.6320356328775 41.84188578901302)
17031816800,POINT (-87.91190642180806 41.89143838191193)
17031770700,POINT (-87.86941995011443 41.985436100575846)
17031806102,POINT (-87.90246374981572 42.0479471817797)
17031430700,POINT (-87.55923217969581 41.76514328197315)
17031808100,POINT (-87.790001306958 42.01130321962074)
17031804810,POINT (-88.08297716625412 42.016151586363065)
17031808500,POINT (-87.77359850686133 42.04723555909708)
17031800200,POINT (-87.77049293862126 42.13519104121024)
17031191000,POINT (-87.74380099551676 41.91922982032766)
17031560400,POINT (-87.74061436821529 41.804006245138254)
17031710700,POINT (-87.6568839344924 41.74711010065628)
17031550100,POINT (-87.5353325152806 41.66506456586355)
17031283200,POINT (-87.65920235044891 41.86957902503929)
17031100500,POINT (-87.8197312890846 41.978045157807756)
17031801607,POINT (-87.85892356506056 42.08941842903516)
17031804106,POINT (-88.05009232557833 42.08792054054653)
17031801606,POINT (-87.86822088022407 42.11624140170458)
17031280900,POINT (-87.68513239384794 41.878626119367894)
17031301600,POINT (-87.71225203718653 41.840757216280224)
17031490600,POINT (-87.62833016169076 41.71797346218146)
17031490700,POINT (-87.62836174419789 41.7107339228481)
17031490800,POINT (-87.61534690159468 41.71069010443464)
17031491000,POINT (-87.62805360173564 41.699762766744556)
17031491100,POINT (-87.63769938562127 41.69975328841088)
17031530200,POINT (-87.63239539695692 41.68156117334843)
17031530300,POINT (-87.65175241101224 41.68131428179818)
17031530400,POINT (-87.6515267162214 41.674039591899344)
17031530600,POINT (-87.61899517345975 41.670391131258775)
17031560100,POINT (-87.74127304244037 41.81533822683353)
17031670200,POINT (-87.66206265479511 41.79042479888124)
17031670300,POINT (-87.66691669890156 41.7903576372371)
